         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1499882106.89     0     34.70     21.50     17.57    12     35.72     22.48     17.67
 1499882106.99     0     34.70     22.36     12.70    12     36.11     23.62     12.68
 1499882107.09     0     34.78     21.60     17.56    12     35.76     22.52     17.65
 1499882107.19     0     34.67     21.89     14.85    12     35.70     22.86     14.68
 1499882107.29     0     34.99     22.17     15.58    12     36.05     23.18     15.54
 1499882107.39     0     34.50     21.31     17.62    12     35.52     22.28     17.45
 1499882107.49     0     35.19     22.73     12.73    12     36.24     23.75     12.67
 1499882107.59     0     34.68     21.49     17.66    12     35.72     22.47     17.57
 1499882107.69     0     35.05     22.59     12.74    12     35.78     23.40     12.65
 1499882107.79     0     34.79     21.60     17.54    12     35.77     22.53     17.66
 1499882107.89     0     34.75     21.91     15.19    12     35.75     22.88     15.10
 1499882107.99     0     35.03     22.24     15.25    12     36.08     23.23     15.23
 1499882108.09     0     34.52     21.33     17.52    12     35.52     22.28     17.63
 1499882108.19     0     35.20     22.74     12.81    12     36.23     23.74     12.67
 1499882108.29     0     34.68     21.49     17.54    12     35.73     22.48     17.39
 1499882108.39     0     34.70     22.36     12.65    12     36.14     23.64     12.69
 1499882108.49     0     34.77     21.58     17.55    12     35.77     22.53     17.56
 1499882108.59     0     34.78     21.90     15.33    12     35.79     22.85     15.34
 1499882108.69     0     35.03     22.26     15.04    12     36.12     23.31     14.78
 1499882108.79     0     34.51     21.32     17.51    12     35.19     22.07     17.64
 1499882108.89     0     35.13     22.67     12.72    12     36.24     23.75     12.68
 1499882108.99     0     34.67     21.46     17.70    12     35.70     22.45     17.56
 1499882109.09     0     35.03     22.56     12.75    12     36.16     23.66     12.79
 1499882109.19     0     34.77     21.57     17.53    12     35.82     22.58     17.66
 1499882109.29     0     34.68     21.78     15.43    12     35.79     22.86     15.50
 1499882109.39     0     34.92     22.23     14.68    12     36.01     23.25     14.88
 1499882109.49     0     34.50     21.31     17.63    12     35.59     22.34     17.64
 1499882109.59     0     34.79     22.45     12.59    12     36.29     23.80     12.49
 1499882109.69     0     34.72     21.52     17.56    12     35.76     22.52     17.49
 1499882109.79     0     34.98     22.52     12.82    12     36.05     23.55     12.71
 1499882109.89     0     34.69     21.54     17.75    12     35.82     22.62     17.60
 1499882109.99     0     34.64     21.72     15.61    12     35.74     22.77     15.67
 1499882110.09     0     35.30     22.50     14.59    12     36.07     23.36     14.52
 1499882110.19     0     34.56     21.37     17.65    12     35.62     22.37     17.56
 1499882110.29     0     34.80     22.47     12.68    12     36.25     23.75     12.58
 1499882110.39     0     34.73     21.54     17.66    12     35.77     22.53     17.68
 1499882110.49     0     34.90     22.41     13.02    12     35.96     23.42     12.74
 1499882110.59     0     34.82     21.69     17.34    12     35.86     22.69     17.40
 1499882110.69     0     34.74     21.76     16.23    12     35.75     22.74     16.31
 1499882110.79     0     35.06     22.43     14.10    12     36.08     23.42     14.07
 1499882110.89     0     34.74     21.54     17.46    12     35.71     22.49     17.52
 1499882110.99     0     35.22     22.76     12.77    12     36.24     23.74     12.73
 1499882111.09     0     34.85     21.67     17.64    12     35.81     22.60     17.60
 1499882111.20     0     34.85     22.19     13.86    12     35.81     23.12     13.96
 1499882111.30     0     35.04     22.11     16.38    12     36.06     23.10     16.12
 1499882111.40     0     34.64     21.49     17.50    12     35.63     22.44     17.35
 1499882111.50     0     35.21     22.75     12.87    12     36.25     23.76     12.86
 1499882111.60     0     34.81     21.62     17.54    12     35.77     22.55     17.63
 1499882111.70     0     35.18     22.71     12.88    12     36.22     23.71     12.65
 1499882111.80     0     34.88     21.70     17.60    12     35.86     22.65     17.49
 1499882111.90     0     34.86     22.01     15.27    12     35.92     23.03     14.99
 1499882112.00     0     35.03     22.23     15.35    12     36.05     23.25     15.12
 1499882112.10     0     34.57     21.38     17.53    12     35.22     22.12     17.36
 1499882112.20     0     35.29     22.83     12.85    12     36.33     23.84     12.69
 1499882112.30     0     34.79     21.60     17.73    12     35.84     22.61     17.62
 1499882112.40     0     34.80     22.45     12.77    12     36.24     23.73     12.76
 1499882112.50     0     34.86     21.69     17.59    12     35.87     22.66     17.57
 1499882112.60     0     34.24     21.49     14.42    12     35.23     22.46     14.19
 1499882112.70     0     35.43     22.44     16.19    12     36.12     23.22     15.89
 1499882112.80     0     34.35     21.28     17.55    12     35.68     22.45     17.44
 1499882112.90     0     35.30     22.84     12.86    12     36.35     23.85     12.60
 1499882113.00     0     34.80     21.61     17.57    12     35.81     22.59     17.50
 1499882113.10     0     35.17     22.69     12.91    12     36.25     23.74     12.85
 1499882113.20     0     34.87     21.68     17.52    12     35.86     22.65     17.27
 1499882113.30     0     34.83     21.94     15.44    12     35.84     22.92     15.39
 1499882113.40     0     35.00     22.29     14.72    12     36.06     23.33     14.76
 1499882113.50     0     34.68     21.48     17.77    12     35.68     22.46     17.62
 1499882113.60     0     35.29     22.82     12.88    12     36.31     23.81     12.81
 1499882113.70     0     34.84     21.65     17.56    12     35.85     22.64     17.40
 1499882113.80     0     34.93     22.36     13.30    12     35.94     23.33     13.39
 1499882113.90     0     34.91     21.88     16.97    12     35.93     22.88     16.75
 1499882114.00     0     34.74     21.68     16.82    12     35.70     22.62     16.73
 1499882114.10     0     35.16     22.60     13.39    12     36.19     23.61     13.46
 1499882114.20     0     34.78     21.59     17.76    12     35.79     22.57     17.60
 1499882114.30     0     35.22     22.75     12.88    12     36.28     23.78     12.63
 1499882114.40     0     34.85     21.66     17.73    12     35.87     22.66     17.57
 1499882114.50     0     34.78     22.04     14.42    12     35.79     23.01     14.57
 1499882114.60     0     34.71     21.84     15.89    12     35.60     22.72     15.57
 1499882114.70     0     34.69     21.55     17.44    12     35.65     22.48     17.41
 1499882114.80     0     35.24     22.74     12.80    12     36.32     23.79     12.97
 1499882114.90     0     34.79     21.59     17.57    12     35.81     22.58     17.38
 1499882115.00     0     35.20     22.72     12.89    12     35.90     23.52     12.74
 1499882115.10     0     34.87     21.68     17.63    12     35.88     22.67     17.58
 1499882115.20     0     34.84     22.02     15.14    12     35.89     23.05     14.99
 1499882115.31     0     35.04     22.25     15.14    12     36.12     23.29     15.31
 1499882115.41     0     34.68     21.48     17.68    12     35.71     22.49     17.53
 1499882115.51     0     35.27     22.80     12.74    12     36.36     23.85     12.81
 1499882115.61     0     34.48     21.41     17.67    12     35.86     22.64     17.23
 1499882115.71     0     35.11     22.62     12.89    12     36.13     23.60     12.96
